Cluster,Feature,Odds_Ratio,Log_Odds_Ratio,CI_low,CI_high
6, 1910HR,0.01,-4.47,-5.03,-4.03
6, 1910HK,0.01,-4.47,-5.02,-4.03
6, ssnA,0.96,-0.04,-1.68,0.79
6, RggTR,0.06,-2.82,-3.24,-2.34
6, SntA,0.96,-0.04,-1.68,0.79
6, Sbp2,0.08,-2.59,-3.08,-2.05
6, TraG,9.67,2.27,1.61,2.65
6, hylA,1.76,0.56,-0.31,1.68
6, rfeA,1.04,0.04,-0.79,1.68
6, Tran,0.07,-2.7,-3.08,-2.2
6, Hhly3,0.09,-2.46,-2.92,-1.89
6, yzpA,4.02,1.39,0.57,1.89
6, gh92,0.01,-4.47,-5.02,-4.03
6, PnuC,1.76,0.56,-0.32,1.68
6, cbp40omp40,1.04,0.04,-0.79,1.68
6, HP1717,0.19,-1.68,-1.68,-1.68
6, AtlAss,5.34,1.68,1.68,1.68
6, Fhbp,1.76,0.56,-0.31,1.68
6, Fhb_2,0.73,-0.31,-0.97,1.68
6, ldeS,5.02,1.61,0.79,2.2
6, dltA,2.64,0.97,-0.04,1.61
6, SspA,0.19,-1.68,-1.68,-1.68
6, Zmp,0.96,-0.04,-1.68,0.79
6, atl_2,2.11,0.75,-0.34,2.82
6, NisK,5.34,1.68,1.68,1.68
6, NisR,5.34,1.68,1.68,1.68
6, ABC_2,2.64,0.97,-0.04,1.61
6, Sbp1,0.03,-3.55,-3.98,-3.14
6, OppA,0.19,-1.68,-1.68,-1.68
6, endoSS,0.01,-4.47,-5.02,-4.03
6, PK,0.19,-1.68,-1.68,-1.68
6, KAR,0.19,-1.68,-1.68,-1.68
6, IMPDH_2,0.19,-1.68,-1.68,-1.68
6, GlnA,0.19,-1.68,-1.68,-1.68
6, HtpsA,0.19,-1.68,-1.68,-1.68
6, LuxS,0.19,-1.68,-1.68,-1.68
6, Ssads,0.08,-2.53,-2.98,-1.97
6, RelQ,0.19,-1.68,-1.68,-1.68
6, srtA,0.57,-0.56,-1.68,0.31
6, HP1083,0.19,-1.68,-1.68,-1.68
6, ciaR,0.19,-1.68,-1.68,-1.68
6, mnmE,0.19,-1.68,-1.68,-1.68
6, HP1538,0.57,-0.56,-1.68,0.31
6, CovR,0.19,-1.68,-1.68,-1.68
6, lytR,0.19,-1.68,-1.68,-1.68
6, RelA,0.19,-1.68,-1.68,-1.68
6, GidA,0.19,-1.68,-1.68,-1.68
6, GdpP,0.19,-1.68,-1.68,-1.68
6, Stp,0.57,-0.56,-1.68,0.31
6, GAPDH,0.19,-1.68,-1.68,-1.68
6, adhE,0.19,-1.68,-1.68,-1.68
6, Stk,0.19,-1.68,-1.68,-1.68
6, ClpX,0.19,-1.68,-1.68,-1.68
6, pepT,0.19,-1.68,-1.68,-1.68
6, ClpP,0.19,-1.68,-1.68,-1.68
6, SspB,0.96,-0.04,-1.68,0.79
6, DnaK,0.19,-1.68,-1.68,-1.68
6, CodY,0.19,-1.68,-1.68,-1.68
6, PepF,0.19,-1.68,-1.68,-1.68
6, Eno,0.19,-1.68,-1.68,-1.68
6, HAM1,0.19,-1.68,-1.68,-1.68
6, Rex,0.19,-1.68,-1.68,-1.68
6, HrcA,0.19,-1.68,-1.68,-1.68
6, GrpE,0.57,-0.56,-1.68,0.31
6, DnaJ,0.19,-1.68,-1.68,-1.68
6, GntR,0.19,-1.68,-1.68,-1.68
6, FlpS,0.19,-1.68,-1.68,-1.68
6, pgdA,0.57,-0.56,-1.68,0.31
6, VraSR,0.19,-1.68,-1.68,-1.68
6, MsmK,0.19,-1.68,-1.68,-1.68
6, OTC,0.19,-1.68,-1.68,-1.68
6, argR,0.19,-1.68,-1.68,-1.68
6, PGK,0.19,-1.68,-1.68,-1.68
6, BgaC,0.19,-1.68,-1.68,-1.68
6, DivIVA,0.19,-1.68,-1.68,-1.68
6, FBPS,0.19,-1.68,-1.68,-1.68
6, GroEL,0.19,-1.68,-1.68,-1.68
6, EF-Tu,0.19,-1.68,-1.68,-1.68
6, ABC_1,0.19,-1.68,-1.68,-1.68
6, PDH,0.19,-1.68,-1.68,-1.68
6, IMPDH_1,0.19,-1.68,-1.68,-1.68
6, FBA,0.19,-1.68,-1.68,-1.68
7, LDH,0.09,-2.42,-2.42,-2.42
7, Cps2E,0.22,-1.5,-1.97,-0.95
7, Cps2F,0.3,-1.21,-1.8,-0.51
7, Cps9E,9.29,2.23,1.8,2.71
7, manN,0.09,-2.42,-2.42,-2.42
7, ArcD,0.09,-2.42,-2.42,-2.42
7, SsPep,0.0,-6.73,-7.84,-5.59
7, Fhb_1,0.3,-1.21,-1.75,-0.37
7, agaR2,0.09,-2.42,-2.42,-2.42
7, Cps2B,0.09,-2.42,-2.42,-2.42
7, cps2G,0.3,-1.21,-1.69,-0.63
7, Cps2J,0.3,-1.21,-1.69,-0.64
7, cps2L,0.22,-1.5,-1.97,-0.95
7, NeuB,0.68,-0.38,-1.92,1.03
7, MRP,0.0,-5.59,-6.73,-4.78
7, SP1,0.72,-0.33,-1.9,1.29
7, ciaH,0.09,-2.42,-2.42,-2.42
7, prsA,0.09,-2.42,-2.42,-2.42
7, Ssa,0.04,-3.23,-5.38,-0.79
7, abpb,0.01,-4.61,-6.73,-3.4
7, sly,0.03,-3.45,-3.92,-2.99
7, HtpsC,0.0,-6.73,-7.84,-5.59
7, lhk,0.03,-3.66,-4.88,-2.42
7, lhr,0.03,-3.66,-4.88,-2.42
7, 1910HR,0.03,-3.5,-3.92,-2.99
7, 1910HK,0.03,-3.5,-4.06,-3.09
7, ssnA,0.01,-4.34,-5.39,-2.42
7, RggTR,12.04,2.49,1.21,4.13
7, SntA,0.01,-4.34,-5.38,-2.42
7, Sbp2,0.16,-1.8,-2.23,-1.28
7, TraG,1.21,0.19,-1.25,1.75
7, hylA,3.71,1.31,0.44,2.42
7, rfeA,12.85,2.55,0.44,4.34
7, Tran,0.15,-1.92,-2.38,-1.43
7, Hhly3,1.43,0.36,-1.75,1.76
7, yzpA,0.0,-6.2,-7.84,-5.38
7, gh92,0.03,-3.5,-3.99,-3.09
7, PnuC,3.71,1.31,0.43,2.42
7, cbp40omp40,2.2,0.79,0.18,2.42
7, HP1717,0.09,-2.42,-2.42,-2.42
7, AtlAss,11.27,2.42,2.42,2.42
7, Fhbp,3.71,1.31,0.44,2.42
7, Fhb_2,1.55,0.44,-0.37,2.42
7, ldeS,0.0,-5.59,-7.84,-4.9
7, dltA,0.01,-4.81,-7.84,-3.25
7, SspA,0.09,-2.42,-2.42,-2.42
7, Zmp,0.08,-2.55,-4.34,-0.79
7, atl_2,0.41,-0.88,-2.43,0.51
7, NisK,11.27,2.42,2.42,2.42
7, NisR,11.27,2.42,2.42,2.42
7, ABC_2,0.0,-6.6,-7.84,-5.38
7, Sbp1,0.5,-0.69,-2.8,0.6
7, OppA,0.09,-2.42,-2.42,-2.42
7, endoSS,0.03,-3.5,-3.92,-3.04
7, PK,0.09,-2.42,-2.42,-2.42
7, KAR,0.09,-2.42,-2.42,-2.42
7, IMPDH_2,0.09,-2.42,-2.42,-2.42
7, GlnA,0.09,-2.42,-2.42,-2.42
7, HtpsA,0.09,-2.42,-2.42,-2.42
7, LuxS,0.09,-2.42,-2.42,-2.42
7, Ssads,7.91,2.07,0.49,4.06
7, RelQ,0.09,-2.42,-2.42,-2.42
7, srtA,0.03,-3.66,-4.88,-2.42
7, HP1083,0.09,-2.42,-2.42,-2.42
7, ciaR,0.09,-2.42,-2.42,-2.42
7, mnmE,0.09,-2.42,-2.42,-2.42
7, HP1538,0.03,-3.66,-4.88,-2.42
7, CovR,0.09,-2.42,-2.42,-2.42
7, lytR,0.09,-2.42,-2.42,-2.42
7, RelA,0.09,-2.42,-2.42,-2.42
7, GidA,0.09,-2.42,-2.42,-2.42
7, GdpP,0.09,-2.42,-2.42,-2.42
7, Stp,0.03,-3.66,-4.88,-2.42
7, GAPDH,0.09,-2.42,-2.42,-2.42
7, adhE,0.09,-2.42,-2.42,-2.42
7, Stk,0.09,-2.42,-2.42,-2.42
7, ClpX,0.09,-2.42,-2.42,-2.42
7, pepT,0.09,-2.42,-2.42,-2.42
7, ClpP,0.09,-2.42,-2.42,-2.42
7, SspB,0.01,-4.34,-5.39,-2.42
7, DnaK,0.09,-2.42,-2.42,-2.42
7, CodY,0.09,-2.42,-2.42,-2.42
7, PepF,0.09,-2.42,-2.42,-2.42
7, Eno,0.09,-2.42,-2.42,-2.42
7, HAM1,0.09,-2.42,-2.42,-2.42
7, Rex,0.09,-2.42,-2.42,-2.42
7, HrcA,0.09,-2.42,-2.42,-2.42
7, GrpE,0.03,-3.66,-4.88,-2.42
7, DnaJ,0.09,-2.42,-2.42,-2.42
7, GntR,0.09,-2.42,-2.42,-2.42
7, FlpS,0.09,-2.42,-2.42,-2.42
7, pgdA,0.03,-3.66,-4.88,-2.42
7, VraSR,0.09,-2.42,-2.42,-2.42
7, MsmK,0.09,-2.42,-2.42,-2.42
7, OTC,0.09,-2.42,-2.42,-2.42
7, argR,0.09,-2.42,-2.42,-2.42
7, PGK,0.09,-2.42,-2.42,-2.42
7, BgaC,0.09,-2.42,-2.42,-2.42
7, DivIVA,0.09,-2.42,-2.42,-2.42
7, FBPS,0.09,-2.42,-2.42,-2.42
7, GroEL,0.09,-2.42,-2.42,-2.42
7, EF-Tu,0.09,-2.42,-2.42,-2.42
7, ABC_1,0.09,-2.42,-2.42,-2.42
7, PDH,0.09,-2.42,-2.42,-2.42
7, IMPDH_1,0.09,-2.42,-2.42,-2.42
7, FBA,0.09,-2.42,-2.42,-2.42
8, LDH,0.22,-1.52,-1.52,-1.52
8, Cps2E,0.3,-1.2,-2.63,-0.07
8, Cps2F,0.12,-2.13,-2.63,-1.55
8, Cps9E,7.31,1.99,0.95,3.52
8, manN,0.22,-1.52,-1.52,-1.52
8, ArcD,0.22,-1.52,-1.52,-1.52
8, SsPep,1.13,0.12,-1.2,1.77
8, Fhb_1,0.12,-2.13,-2.63,-1.67
8, agaR2,0.22,-1.52,-1.52,-1.52
8, Cps2B,0.22,-1.52,-1.52,-1.52
8, cps2G,0.12,-2.13,-2.63,-1.67
8, Cps2J,0.12,-2.13,-2.63,-1.42
8, cps2L,0.3,-1.2,-2.69,0.02
8, NeuB,0.25,-1.41,-2.93,-0.29
8, MRP,5.88,1.77,0.95,2.22
8, SP1,0.01,-4.7,-5.22,-4.24
8, ciaH,0.22,-1.52,-1.52,-1.52
8, prsA,0.22,-1.52,-1.52,-1.52
8, Ssa,0.35,-1.05,-3.26,0.73
8, abpb,1.3,0.26,-1.28,1.77
8, sly,27.43,3.31,2.93,3.74
8, HtpsC,4.16,1.42,0.73,2.05
8, lhk,0.66,-0.41,-1.52,0.73
8, lhr,0.66,-0.41,-1.52,0.47
8, 1910HR,26.01,3.26,2.75,3.68
8, 1910HK,26.01,3.26,2.81,3.68
8, ssnA,1.12,0.12,-1.52,0.95
8, RggTR,0.05,-2.99,-3.42,-2.56
8, SntA,1.12,0.12,-1.52,0.95
8, Sbp2,14.11,2.65,1.59,4.06
8, TraG,0.0,-6.53,-7.43,-5.71
8, hylA,1.51,0.41,-0.47,1.52
8, rfeA,0.89,-0.12,-1.13,1.52
8, Tran,0.06,-2.87,-3.36,-2.43
8, Hhly3,0.07,-2.63,-3.04,-2.05
8, yzpA,4.71,1.55,0.73,2.05
8, gh92,26.01,3.26,2.75,3.63
8, PnuC,1.51,0.41,-0.47,1.52
8, cbp40omp40,0.89,-0.12,-0.95,1.52
8, HP1717,0.22,-1.52,-1.52,-1.52
8, AtlAss,4.58,1.52,1.52,1.52
8, Fhbp,1.51,0.41,-0.47,1.52
8, Fhb_2,0.63,-0.47,-1.13,1.52
8, ldeS,5.88,1.77,1.13,2.29
8, dltA,3.09,1.13,0.12,1.77
8, SspA,0.22,-1.52,-1.52,-1.52
8, Zmp,1.12,0.12,-1.52,0.95
8, atl_2,2.59,0.95,-0.22,2.87
8, NisK,4.58,1.52,1.52,1.52
8, NisR,4.58,1.52,1.52,1.52
8, ABC_2,3.09,1.13,0.12,1.77
8, Sbp1,18.22,2.9,1.7,4.43
8, OppA,0.22,-1.52,-1.52,-1.52
8, endoSS,26.01,3.26,2.81,3.73
8, PK,0.22,-1.52,-1.52,-1.52
8, KAR,0.22,-1.52,-1.52,-1.52
8, IMPDH_2,0.22,-1.52,-1.52,-1.52
8, GlnA,0.22,-1.52,-1.52,-1.52
8, HtpsA,0.22,-1.52,-1.52,-1.52
8, LuxS,0.22,-1.52,-1.52,-1.52
8, Ssads,0.07,-2.69,-3.1,-2.13
8, RelQ,0.22,-1.52,-1.52,-1.52
8, srtA,0.66,-0.41,-1.52,0.47
8, HP1083,0.22,-1.52,-1.52,-1.52
8, ciaR,0.22,-1.52,-1.52,-1.52
8, mnmE,0.22,-1.52,-1.52,-1.52
8, HP1538,0.66,-0.41,-1.52,0.47
8, CovR,0.22,-1.52,-1.52,-1.52
8, lytR,0.22,-1.52,-1.52,-1.52
8, RelA,0.22,-1.52,-1.52,-1.52
8, GidA,0.22,-1.52,-1.52,-1.52
8, GdpP,0.22,-1.52,-1.52,-1.52
8, Stp,0.66,-0.41,-1.52,0.47
8, GAPDH,0.22,-1.52,-1.52,-1.52
8, adhE,0.22,-1.52,-1.52,-1.52
8, Stk,0.22,-1.52,-1.52,-1.52
8, ClpX,0.22,-1.52,-1.52,-1.52
8, pepT,0.22,-1.52,-1.52,-1.52
8, ClpP,0.22,-1.52,-1.52,-1.52
8, SspB,1.12,0.12,-1.52,0.95
8, DnaK,0.22,-1.52,-1.52,-1.52
8, CodY,0.22,-1.52,-1.52,-1.52
8, PepF,0.22,-1.52,-1.52,-1.52
8, Eno,0.22,-1.52,-1.52,-1.52
8, HAM1,0.22,-1.52,-1.52,-1.52
8, Rex,0.22,-1.52,-1.52,-1.52
8, HrcA,0.22,-1.52,-1.52,-1.52
8, GrpE,0.66,-0.41,-1.52,0.47
8, DnaJ,0.22,-1.52,-1.52,-1.52
8, GntR,0.22,-1.52,-1.52,-1.52
8, FlpS,0.22,-1.52,-1.52,-1.52
8, pgdA,0.66,-0.41,-1.52,0.47
8, VraSR,0.22,-1.52,-1.52,-1.52
8, MsmK,0.22,-1.52,-1.52,-1.52
8, OTC,0.22,-1.52,-1.52,-1.52
8, argR,0.22,-1.52,-1.52,-1.52
8, PGK,0.22,-1.52,-1.52,-1.52
8, BgaC,0.22,-1.52,-1.52,-1.52
8, DivIVA,0.22,-1.52,-1.52,-1.52
8, FBPS,0.22,-1.52,-1.52,-1.52
8, GroEL,0.22,-1.52,-1.52,-1.52
8, EF-Tu,0.22,-1.52,-1.52,-1.52
8, ABC_1,0.22,-1.52,-1.52,-1.52
8, PDH,0.22,-1.52,-1.52,-1.52
8, IMPDH_1,0.22,-1.52,-1.52,-1.52
8, FBA,0.22,-1.52,-1.52,-1.52
